algo,WORK4FOOD
min_wage_per_second,_25_static_driverreject
start_day,1
end_day,1
orders_assigned,22724
total_drivers,1686
total_active_time,633450
total_payment,216629
total_payment_above_minwage_mwo_dyn,49154
total_payment_below_minwage_mwo_dyn,16446
total_pay_guarantee_mwo_dyn,183921
total_cost_to_platform_mwo_dyn,233075
num_drivers_below_minwage_mwo_dyn,797
gini_normalized_mwo_dyn,0.295
gini_normalized_foreach_mwo0,0.274
total_payment_above_minwage_mwo25,63628
total_payment_below_minwage_mwo25,5361
total_pay_guarantee_foreach_mwo25,158363
total_cost_to_platform_mwo25,221990
num_drivers_below_minwage_mwo25,436
gini_normalized_foreach_mwo25,0.220
average_wait_time_per_driver,0.14
average_travelled_time_per_driver,2.00
average_active_time_per_driver,6.26
average_worked_fraction_per_driver,0.34
average_pay_per_driver,128.49
average_delivery_time,17.47
average_xdt,2.28
frac_drivers_with_non-zero_pay,0.9680
per_higher_3_xdt,29.1454
per_higher_5_xdt,15.3010
per_higher_10_xdt,2.6624
gini_work_for_guaranteed_pay,0.0341
gini_pay_per_worked_hour,0.2116
total_travelled_distance,142067.40193348902
