algo,WORK4FOOD
min_wage_per_second,_dynamic
start_day,1
end_day,1
orders_assigned,22724
total_drivers,2158
total_active_time,986230
total_payment,231405
total_payment_above_minwage_mwo_dyn,17132
total_payment_below_minwage_mwo_dyn,41942
total_pay_guarantee_mwo_dyn,256215
total_cost_to_platform_mwo_dyn,273347
num_drivers_below_minwage_mwo_dyn,1238
gini_normalized_mwo_dyn,0.155
gini_normalized_foreach_mwo0,0.229
total_payment_above_minwage_mwo25,24835
total_payment_below_minwage_mwo25,39988
total_pay_guarantee_foreach_mwo25,246558
total_cost_to_platform_mwo25,271393
num_drivers_below_minwage_mwo25,1101
gini_normalized_foreach_mwo25,0.116
average_wait_time_per_driver,0.14
average_travelled_time_per_driver,1.65
average_active_time_per_driver,7.62
average_worked_fraction_per_driver,0.23
average_pay_per_driver,107.23
average_delivery_time,16.52
average_xdt,1.34
frac_drivers_with_non-zero_pay,0.9954
per_higher_3_xdt,16.9160
per_higher_5_xdt,5.6108
per_higher_10_xdt,0.3653
gini_work_for_guaranteed_pay,0.1106
gini_pay_per_worked_hour,0.2176
total_travelled_distance,154417.41426474802
